"Name","Sweep","best_eval_top1","Runtime","State","Created","unc-module","best_test_avg_downstream_auroc_correct","best_test_avg_downstream_r1","best_test_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_auroc_correct","best_eval_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_r1","eval_avg_downstream_auroc_correct","eval_avg_downstream_croppedHasBiggerUnc","eval_avg_downstream_r1","best_furthertest_avg_downstream_auroc_correct","best_furthertest_avg_downstream_croppedHasBiggerUnc","best_furthertest_avg_downstream_r1","best_furthertest_avg_downstream_rcorr_entropy","furthertest_avg_downstream_auroc_correct","furthertest_avg_downstream_croppedHasBiggerUnc","furthertest_avg_downstream_r1","furthertest_avg_downstream_rcorr_entropy","best_eval_croppedHasBiggerUnc","best_eval_auroc_correct","model","lr","loss","num-heads","best_eval_r1"
"neat-sweep-7","dwm85pkc","","29","failed","2023-06-26T09:24:50.000Z","class-entropy","","","","","","","","","","","","","","","","","","","","vit_medium_patch16_gap_256","0.001501718475774593","cross-entropy","10",""
"happy-sweep-6","dwm85pkc","","24","failed","2023-06-26T09:24:50.000Z","jsd","","","","","","","","","","","","","","","","","","","","vit_medium_patch16_gap_256","0.0003406950220787786","cross-entropy","10",""
"distinctive-sweep-8","23nykvto","82.584","113117","finished","2023-06-26T09:23:24.000Z","pred-net","0.5248333333333334","0.5580666666666666","0.4415","0.5145000000000001","0.4176333333333333","0.528","0.5","0.018666666666666665","0.5285333333333333","0.4854","0.29244","0.72312","-0.07061999999999999","","","","","0.3764","0.3852","vit_medium_patch16_gap_256","0.0002924339572287135","nivmf","","0.7864"
"morning-sweep-6","23nykvto","83.368","112709","finished","2023-06-26T09:23:23.000Z","pred-net","0.5057666666666667","0.4772666666666667","0.4827999999999999","0.5313","0.4869666666666667","0.4581666666666666","0.5","0.05316666666666667","0.33296666666666663","0.4978","0.53436","0.67536","-0.0034799999999999996","","","","","0.6196","0.6594","vit_medium_patch16_gap_256","0.0002834438937875277","nivmf","","0.8036"
"swept-sweep-7","23nykvto","82.314","116628","finished","2023-06-26T09:23:23.000Z","pred-net","0.4948333333333334","0.5332333333333333","0.6930999999999999","0.4943666666666667","0.6905666666666667","0.5121666666666667","0.4914","0.6908333333333333","0.5135333333333333","0.50634","0.43856","0.7138","0.00544","","","","","0.6163","0.3705","vit_medium_patch16_gap_256","0.0002870774602697645","nivmf","","0.7997"
"kind-sweep-8","6fado2xq","66.616","214714","finished","2023-06-26T09:21:54.000Z","class-entropy","0.5256","0.22680000000000003","0.7934666666666667","0.5523666666666667","0.8075333333333333","0.24933333333333332","0.5295","0.6920000000000001","0.37126666666666663","0.5367200000000001","0.80946","0.52236","0.043219999999999995","","","","","0.8562","0.826","resnet50dropout","0.0003066957872648469","cross-entropy","","0.3505"
"deep-sweep-7","6fado2xq","75.332","229433","finished","2023-06-26T09:21:52.000Z","jsd","0.5227","0.3242333333333333","0.5085333333333333","0.5521333333333334","0.5371666666666667","0.3455333333333333","0.5392333333333333","0.5453333333333333","0.3529","0.49912","0.23092","0.61936","-0.0008799999999999988","","","","","0.6395","0.8068","resnet50dropout","0.0003075931087572625","cross-entropy","","0.5281"
"rare-sweep-6","6fado2xq","71.812","229436","finished","2023-06-26T09:21:46.000Z","jsd","0.5014333333333333","0.2718333333333333","0.48383333333333334","0.5353","0.5133333333333333","0.2885666666666667","0.5262666666666667","0.5338666666666667","0.30060000000000003","0.5013","0.21498","0.5882999999999999","-0.011199999999999998","","","","","0.593","0.7949","resnet50dropout","0.00029052190537859015","cross-entropy","","0.4443"
"dainty-sweep-8","zydxq6e0","75.98","210560","finished","2023-06-26T09:21:31.000Z","jsd","0.5017666666666667","0.4827333333333333","0.6154333333333333","0.5433666666666667","0.6201","0.48186666666666667","0.5299","0.6390666666666667","0.492","0.50474","0.45008","0.6784800000000001","0.004480000000000002","","","","","0.6712","0.8168","resnet50","0.007476373481468233","cross-entropy","10","0.6639"
"zesty-sweep-7","zydxq6e0","75.828","192574","finished","2023-06-26T09:21:31.000Z","class-entropy","0.4968333333333333","0.37116666666666664","0.6808333333333333","0.5397","0.6852333333333332","0.3930666666666667","0.5246","0.6296666666666666","0.4030666666666667","0.52044","0.70492","0.64364","0.02516","","","","","0.6747","0.7241","resnet50","0.003281881165558503","cross-entropy","10","0.6992"
"desert-sweep-6","zydxq6e0","55.512","59672","failed","2023-06-26T09:21:30.000Z","class-entropy","0.5341","0.37943333333333334","0.7406333333333333","0.5670666666666666","0.7515666666666666","0.3826333333333334","0.5533333333333333","0.7833","0.38776666666666665","0.52088","0.69404","0.6147","0.05891999999999999","","","","","0.7715","0.7763","resnet50","0.012461739075512","cross-entropy","10","0.4904"
"gentle-sweep-8","ixqomx7b","77.88","194097","finished","2023-06-26T09:21:29.000Z","pred-net","0.5639333333333333","0.42573333333333335","0.7077333333333332","0.5392333333333333","0.7380666666666666","0.4346","0.5","0.15403333333333336","0.2433","0.5251000000000001","0.7626000000000001","0.651","0.019499999999999997","","","","","0.7602","0.5665","resnet50","0.0004317719202311009","nivmf","","0.7284"
"volcanic-sweep-7","ixqomx7b","77.888","194242","finished","2023-06-26T09:21:29.000Z","pred-net","0.5645666666666666","0.42546666666666666","0.7082","0.5386666666666667","0.7384333333333334","0.4353","0.5","0.1415","0.2274","0.52582","0.7641800000000001","0.64788","0.01816","","","","","0.7585","0.5661","resnet50","0.0004971728022214616","nivmf","","0.728"
"revived-sweep-6","ixqomx7b","77.878","196653","finished","2023-06-26T09:21:04.000Z","pred-net","0.5646666666666667","0.4254333333333334","0.7089333333333333","0.5393333333333333","0.7369","0.4372","0.5","0.11566666666666664","0.21913333333333332","0.5236","0.76064","0.65132","0.018219999999999997","","","","","0.7593","0.5654","resnet50","0.0008979347145748492","nivmf","","0.7281"
"cosmic-sweep-4","var4i74r","76.922","128855","finished","2023-06-22T15:40:01.000Z","jsd","0.4972","0.5366","0.2792666666666666","0.5093333333333333","0.2723333333333333","0.5172","0.49593333333333334","0.30246666666666666","0.5094333333333333","0.50206","0.2673","0.7032","0.0078","","","","","0.2889","0.5194","vit_medium_patch16_gap_256dropout","0.000951546253929004","cross-entropy","","0.7474"
