"Name","Sweep","Runtime","State","Created","best_eval_top1","unc-module","n_few_shot","dataset","loss","model","lr","num-heads","initial-checkpoint","best_test_avg_downstream_auroc_correct","best_test_avg_downstream_auroc_correct_mixed","best_test_avg_downstream_auroc_ood","best_furthertest_avg_downstream_auroc_correct","best_test_avg_downstream_r1","best_furthertest_avg_downstream_r1","best_test_avg_downstream_croppedHasBiggerUnc","best_furthertest_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_auroc_correct","best_eval_avg_downstream_auroc_correct_mixed","best_eval_avg_downstream_auroc_ood","best_eval_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_r1","eval_avg_downstream_auroc_correct","eval_avg_downstream_croppedHasBiggerUnc","eval_avg_downstream_r1","best_eval_auroc_correct","best_eval_r1","eval_time_per_sample"
"flowing-sweep-11","godeg2dk","5191","finished","2023-08-16T01:52:32.000Z","3.2182","class-entropy","5","repr/cub","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230517-110251988515-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.5512","0.5","0.5","","0.2199","","0.5467","","","","","","","","","","0.5512","0.2199","0.4399567057446735"
"northern-sweep-3","xj7hbxe7","9241","finished","2023-08-16T01:50:50.000Z","1.2195","pred-net","5","repr/cub","mcinfonce","resnet50","0.000011921026128622955","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230522-102914532252-resnet50-224/checkpoint-1.pth.tar","0.6308","0.5","0.5","","0.3255","","0.6203","","","","","","","","","","0.6308","0.3255","0.5958654499312404"
"decent-sweep-2","xj7hbxe7","8193","finished","2023-08-16T01:47:53.000Z","1.2873","pred-net","2","repr/cub","mcinfonce","resnet50","0.000011921026128622955","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230522-102914532252-resnet50-224/checkpoint-1.pth.tar","0.6306","0.5","0.5","","0.2978","","0.5593","","","","","","","","","","0.6306","0.2978","0.63860416800026"
"revived-sweep-10","godeg2dk","4766","finished","2023-08-16T01:45:12.000Z","0.9146","class-entropy","2","repr/cub","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230517-110251988515-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.5378","0.5","0.4999999701976776","","0.54","","0.4973","","","","","","","","","","0.5378","0.54","0.4334749296751772"
"ancient-sweep-1","xj7hbxe7","7805","finished","2023-08-16T01:44:15.000Z","1.2534","pred-net","1","repr/cub","mcinfonce","resnet50","0.000011921026128622955","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230522-102914532252-resnet50-224/checkpoint-1.pth.tar","0.6309","0.5","0.5","","0.3228","","0.6186","","","","","","","","","","0.6309","0.3228","0.665692217627838"
"classic-sweep-36","x7ykknom","106490","finished","2023-08-16T01:44:07.000Z","0.0108","pred-net","10","repr/sop","nivmf","resnet50","0.00007471454699183701","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230703-100732158854-resnet50-224/checkpoint-0.pth.tar","0.5266","0.50001060962677","0.5","","0.1599","","0.6017","","","","","","","","","","0.5266","0.1599","0.4079039295749501"
"silver-sweep-35","x7ykknom","103029","finished","2023-08-16T01:43:29.000Z","0.0143","pred-net","5","repr/sop","nivmf","resnet50","0.00007471454699183701","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230703-100732158854-resnet50-224/checkpoint-0.pth.tar","0.5518","0.4998722970485687","0.5","","0.1405","","0.7584","","","","","","","","","","0.5518","0.1405","0.4373018466183816"
"vibrant-sweep-34","x7ykknom","85394","finished","2023-08-16T01:39:01.000Z","0.0179","pred-net","2","repr/sop","nivmf","resnet50","0.00007471454699183701","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230703-100732158854-resnet50-224/checkpoint-0.pth.tar","0.5259","0.4998933672904968","0.5","","0.1483","","0.5789","","","","","","","","","","0.5259","0.1483","0.6542677668619719"
"ethereal-sweep-33","x7ykknom","66543","finished","2023-08-16T01:37:22.000Z","0.0072","pred-net","1","repr/sop","nivmf","resnet50","0.00007471454699183701","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230703-100732158854-resnet50-224/checkpoint-0.pth.tar","0.5282","0.49996086955070496","0.5","","0.1502","","0.6688","","","","","","","","","","0.5282","0.1502","0.47914547508373506"
"olive-sweep-32","x7ykknom","105310","finished","2023-08-16T01:34:21.000Z","0","pred-net","10","repr/sop","nivmf","resnet50","0.00007471454699183701","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230703-100728315414-resnet50-224/checkpoint-0.pth.tar","0.5653","0.4999728798866272","0.5","","0.2865","","0.5506","","","","","","","","","","0.5653","0.2865","0.3953734581640856"
